ID	Title	Text	Source	RecipeType
11	Mini eggplant pizza	"Mini eggplant pizza. If you want to add more <b>Mediterranean</b> recipes to your repertoire, Mini eggplant pizza might be a recipe you should try. For <b>81 cents per serving</b>, you get a hor d'oeuvre that serves 3. One serving contains <b>325 calories</b>, <b>11g of protein</b>, and <b>31g of fat</b>. From preparation to the plate, this recipe takes around <b>45 minutes</b>. It is a good option if you're following a <b>gluten free and primal</b> diet. Head to the store and pick up olive oil, sea salt, pepperoni, and a few other things to make it today. It is brought to you by Foodista. 1 person were glad they tried this recipe. Overall, this recipe earns a <b>not so great spoonacular score of 23%</b>. Try <a href=""https://spoonacular.com/recipes/mini-eggplant-parmesan-331709"">Mini Eggplant Parmesan</a>, <a href=""https://spoonacular.com/recipes/mini-eggplant-crust-pizzas-103649"">Mini Eggplant Crust Pizzas</a>, and <a href=""https://spoonacular.com/recipes/mini-eggplant-parm-roasted-cherry-tomato-basil-pesto-751511"">Mini Eggplant Parm, Roasted Cherry Tomato, Basil Pesto</a> for similar recipes."	https://www.foodista.com/recipe/2R5MSMN3/mini-eggplant-pizza	Non-Vegetarian
12	Butternut Squash Pizza	"Butternut Squash Pizza. The recipe Butternut Squash Pizza can be made <b>in roughly 45 minutes</b>. This main course has <b>925 calories</b>, <b>46g of protein</b>, and <b>51g of fat</b> per serving. This recipe serves 4 and costs $4.76 per serving. This recipe is typical of Mediterranean cuisine. A mixture of mozzarella cheese, roasted butternut squash, pine nuts, and a handful of other ingredients are all it takes to make this recipe so scrumptious. 2 people have made this recipe and would make it again. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 61%</b>. This score is solid. Similar recipes are <a href=""https://spoonacular.com/recipes/2ways2percent-butternut-squash-pizza-and-creamy-butternut-squash-puree-with-scallops-and-bacon-620004"">2ways2percent: Butternut Squash Pizzan and Creamy Butternut Squash Puree with Scallops and Bacon</a>, <a href=""https://spoonacular.com/recipes/2ways2percent-butternut-squash-pizza-and-creamy-butternut-squash-puree-with-scallops-and-bacon-1396583"">2ways2percent: Butternut Squash Pizzan and Creamy Butternut Squash Puree with Scallops and Bacon</a>, and <a href=""https://spoonacular.com/recipes/butternut-squash-pizza-506258"">Butternut Squash Pizza</a>."	https://www.foodista.com/recipe/7ZRQJMW4/butternut-squash-pizza	Non-Vegetarian
13	summer vegetable pizza	"summer vegetable pizza. You can never have too many Mediterranean recipes, so give summer vegetable pizzan a try. One portion of this dish contains roughly <b>27g of protein</b>, <b>20g of fat</b>, and a total of <b>614 calories</b>. This recipe serves 4 and costs $4.01 per serving. This recipe is liked by 2 foodies and cooks. This recipe from Foodista requires pepper, onion, thyme, and eggplant. It works best as a main course, and is done in roughly <b>45 minutes</b>. <b>The Fourth Of July</b> will be even more special with this recipe. Overall, this recipe earns a <b>good spoonacular score of 69%</b>. Try <a href=""https://spoonacular.com/recipes/summer-grilled-vegetable-pizza-241631"">Summer Grilled Vegetable Pizza</a>, <a href=""https://spoonacular.com/recipes/summer-vegetable-pizza-with-a-cauliflower-crust-604011"">Summer Vegetable Pizza with a Cauliflower Crust</a>, and <a href=""https://spoonacular.com/recipes/summer-time-vegetable-pizza-pie-511390"">Summer Time Vegetable Pizza Pie</a> for similar recipes."	https://www.foodista.com/recipe/H4FD2GWH/summer-vegetable-pizza	Non-Vegetarian
14	Stilton Balsamic Pizza	"Stilton Balsamic Pizza. Stilton Balsamic Pizzan is a Mediterranean hor d'oeuvre. This recipe makes 24 servings with <b>62 calories</b>, <b>2g of protein</b>, and <b>2g of fat</b> each. For <b>30 cents per serving</b>, this recipe <b>covers 1%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. This recipe is liked by 1 foodies and cooks. Head to the store and pick up reduced balsamic vinegar, wedge of stilton cheese, virgin olive oil, and a few other things to make it today. Taking all factors into account, this recipe <b>earns a spoonacular score of 10%</b>, which is rather bad. Try <a href=""https://spoonacular.com/recipes/blackberry-and-balsamic-pizza-1265799"">Blackberry and Balsamic Pizza</a>, <a href=""https://spoonacular.com/recipes/blackberry-and-balsamic-pizza-824717"">Blackberry and Balsamic Pizza</a>, and <a href=""https://spoonacular.com/recipes/summer-peach-and-balsamic-pizza-78840"">Summer Peach And Balsamic Pizza</a> for similar recipes."	https://www.foodista.com/recipe/SBP43RW2/stilton-balsamic-pizza	Non-Vegetarian
15	Tomato and Bacon Pizza With Rice Crust	"Tomato and Bacon Pizza With Rice Crust. Tomato and Bacon Pizza With Rice Crust is a hor d'oeuvre that serves 8. One serving contains <b>163 calories</b>, <b>9g of protein</b>, and <b>7g of fat</b>. For <b>81 cents per serving</b>, this recipe <b>covers 10%</b> of your daily requirements of vitamins and minerals. 3 people have tried and liked this recipe. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. This recipe from Foodista requires bell pepper, tomatoes, egg, and mozzarella cheese. Not a lot of people really liked this Mediterranean dish. It is a good option if you're following a <b>gluten free</b> diet. With a spoonacular <b>score of 52%</b>, this dish is pretty good. Similar recipes include <a href=""https://spoonacular.com/recipes/tomato-and-bacon-pizza-with-rice-crust-1409167"">Tomato and Bacon Pizza With Rice Crust</a>, <a href=""https://spoonacular.com/recipes/thin-crust-bacon-cheeseburger-pizza-629505"">Thin Crust Bacon Cheeseburger Pizza</a>, and <a href=""https://spoonacular.com/recipes/cauliflower-crust-bacon-and-egg-pizza-1350333"">Cauliflower Crust Bacon and Egg Pizza</a>."	https://www.foodista.com/recipe/RB57HRNX/tomato-and-bacon-pizza-with-rice-crust	Non-Vegetarian
16	Goat Cheese Pesto Pizza	"Goat Cheese Pesto Pizza. Goat Cheese Pesto Pizza might be a good recipe to expand your main course repertoire. One serving contains <b>517 calories</b>, <b>12g of protein</b>, and <b>28g of fat</b>. This recipe serves 4. For <b>$2.28 per serving</b>, this recipe <b>covers 5%</b> of your daily requirements of vitamins and minerals. 1 person were impressed by this recipe. It is a <b>rather cheap</b> recipe for fans of Mediterranean food. Head to the store and pick up pizza shell, pesto, tomatoes, and a few other things to make it today. From preparation to the plate, this recipe takes about <b>45 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 25%</b>, which is rather bad. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/goat-cheese-pesto-pizza-1540119"">Goat Cheese Pesto Pizza</a>, <a href=""https://spoonacular.com/recipes/fig-and-goat-cheese-pizza-with-pesto-642777"">Fig and Goat Cheese Pizza With Pesto</a>, and <a href=""https://spoonacular.com/recipes/pesto-goat-cheese-pizza-gluten-free-593060"">Pesto & Goat Cheese Pizza {gluten free}</a>."	https://www.foodista.com/recipe/NYLVT4DN/goat-cheese-pesto-pizza	Non-Vegetarian
17	Fig and Goat Cheese Pizza With Pesto	"Fig and Goat Cheese Pizza With Pesto. Forget going out to eat or ordering takeout every time you crave Mediterranean food. Try making Fig and Goat Cheese Pizza With Pesto at home. This main course has <b>501 calories</b>, <b>14g of protein</b>, and <b>28g of fat</b> per serving. This lacto ovo vegetarian recipe serves 6 and costs <b>$2.76 per serving</b>. 1 person found this recipe to be flavorful and satisfying. If you have pesto, goat cheese, naan bread, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. From preparation to the plate, this recipe takes approximately <b>15 minutes</b>. Overall, this recipe earns a <b>rather bad spoonacular score of 24%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/fig-and-goat-cheese-pizza-533256"">Fig and Goat Cheese Pizza</a>, <a href=""https://spoonacular.com/recipes/rustic-fig-and-goat-cheese-pizza-57115"">Rustic Fig And Goat Cheese Pizza</a>, and <a href=""https://spoonacular.com/recipes/fig-prosciutto-and-goat-cheese-pizza-498241"">Fig, Prosciutto, and Goat Cheese Pizza</a>."	https://www.foodista.com/recipe/KFX4GS4M/fig-and-goat-cheese-pizza-with-pesto	Vegetarian
18	Homemade Thin Crust Pizza + Pesto + Potato	"Homemade Thin Crust Pizza + Pesto + Potato. If you want to add more <b>Mediterranean</b> recipes to your recipe box, Homemade Thin Crust Pizza + Pesto + Potato might be a recipe you should try. This recipe makes 6 servings with <b>515 calories</b>, <b>16g of protein</b>, and <b>19g of fat</b> each. For <b>$2.0 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. Head to the store and pick up water, basil, manchego cheese, and a few other things to make it today. This recipe is liked by 1 foodies and cooks. Not a lot of people really liked this main course. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 85%</b>. This score is excellent. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/thin-crust-pizza-507446"">Thin Crust Pizza</a>, <a href=""https://spoonacular.com/recipes/thin-crust-pizza-1312483"">Thin Crust Pizza</a>, and <a href=""https://spoonacular.com/recipes/explorers-thin-crust-pizza-103580"">Explorers Thin Crust Pizza</a>."	https://www.foodista.com/recipe/X27TPBXD/homemade-thin-crust-pizza-pesto-potato	Non-Vegetarian
19	Multigrain Tandoori Pizza With Paneer Tikka	"Multigrain Tandoori Pizza With Paneer Tikka. Multigrain Tandoori Pizza With Paneer Tikkan is a main course that serves 2. One serving contains <b>505 calories</b>, <b>22g of protein</b>, and <b>33g of fat</b>. For <b>$4.05 per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. From preparation to the plate, this recipe takes around <b>45 minutes</b>. If you have salt, paneer: g, parsley: few sprigs, and a few other ingredients on hand, you can make it. 1 person found this recipe to be scrumptious and satisfying. It is a <b>pretty expensive</b> recipe for fans of Mediterranean food. Taking all factors into account, this recipe <b>earns a spoonacular score of 15%</b>, which is not so super. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/tandoori-paneer-tikka-in-oven-restaurant-style-487822"">Tandoori Paneer Tikkan in Oven (Restaurant Style)</a>, <a href=""https://spoonacular.com/recipes/paneer-tikka-masala-sanjeev-kapoor-how-to-make-paneer-tikka-masala-630787"">paneer tikka masala (sanjeev kapoor), how to make paneer tikka masala</a>, and <a href=""https://spoonacular.com/recipes/paneer-tikka-masala-sanjeev-kapoor-how-to-make-paneer-tikka-masala-1198259"">paneer tikka masala (sanjeev kapoor), how to make paneer tikka masala</a>."	https://www.foodista.com/recipe/363LNF4Q/multigrain-tandoori-pizza-with-paneer-tikka	Non-Vegetarian
20	Elk Italian Sausage Pizza With Ricotta Cheese, Sautéd Mushrooms and Onion	"Elk Italian Sausage Pizza With Ricotta Cheese, Sautéd Mushrooms and Onion. The recipe Elk Italian Sausage Pizza With Ricotta Cheese, Sautéd Mushrooms and Onion could satisfy your Mediterranean craving in around <b>45 minutes</b>. For <b>$5.65 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. One serving contains <b>745 calories</b>, <b>54g of protein</b>, and <b>30g of fat</b>. This recipe from Foodista requires elk sausage, shitake mushrooms, garlic, and parmesan cheese. It works well as a pricey main course. 1 person has made this recipe and would make it again. With a spoonacular <b>score of 65%</b>, this dish is pretty good. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/italian-sausage-caramelized-onion-pizza-593157"">Italian Sausage & Caramelized Onion Pizza</a>, <a href=""https://spoonacular.com/recipes/fast-and-easy-ricotta-cheese-pizza-with-mushrooms-broccoli-and-chicken-471633"">Fast and Easy Ricotta Cheese Pizza with Mushrooms, Broccoli, and Chicken</a>, and <a href=""https://spoonacular.com/recipes/italian-sausage-spinach-and-ricotta-cheese-stuffed-shells-512750"">Italian Sausage, Spinach and Ricotta Cheese Stuffed Shells</a>."	https://www.foodista.com/recipe/62GDZ335/elk-italian-sausage-pizza-with-ricotta-cheese-sauted-mushrooms-and-onion	Non-Vegetarian
21	Mexican Fiesta Salad Pizza	"Mexican Fiesta Salad Pizza. Mexican Fiesta Salad Pizzan is a Mexican main course. This recipe makes 8 servings with <b>408 calories</b>, <b>20g of protein</b>, and <b>24g of fat</b> each. For <b>$2.35 per serving</b>, this recipe <b>covers 13%</b> of your daily requirements of vitamins and minerals. 1 person were glad they tried this recipe. It is brought to you by Foodista. If you have taco seasoning mix, green onions, cheddar cheese, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Overall, this recipe earns a <b>not so excellent spoonacular score of 35%</b>. Try <a href=""https://spoonacular.com/recipes/mexican-fiesta-pizza-544290"">Mexican Fiesta Pizza</a>, <a href=""https://spoonacular.com/recipes/dairy-free-mexican-fiesta-pizza-250882"">Dairy-Free Mexican Fiesta Pizza</a>, and <a href=""https://spoonacular.com/recipes/mexican-fiesta-salad-511190"">Mexican Fiesta Salad</a> for similar recipes."	https://www.foodista.com/recipe/FXRFV3WD/mexican-fiesta-salad-pizza	Non-Vegetarian
22	Thin Crust Genoa Salami Pizza	"Thin Crust Genoa Salami Pizza. Thin Crust Genoa Salami Pizzan is a Mediterranean main course. One portion of this dish contains around <b>19g of protein</b>, <b>13g of fat</b>, and a total of <b>477 calories</b>. This recipe serves 4. For <b>$1.36 per serving</b>, this recipe <b>covers 23%</b> of your daily requirements of vitamins and minerals. A mixture of all purpose flour, olive oil, ground pepper, and a handful of other ingredients are all it takes to make this recipe so tasty. 1 person were glad they tried this recipe. From preparation to the plate, this recipe takes around <b>45 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 77%</b>, which is pretty good. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/thin-crust-genoa-salami-pizza-1421139"">Thin Crust Genoa Salami Pizza</a>, <a href=""https://spoonacular.com/recipes/genoa-salami-stacks-158800"">Genoa Salami Stacks</a>, and <a href=""https://spoonacular.com/recipes/sopressata-and-genoa-salami-calzones-68519"">Sopressatan And Genoa Salami Calzones</a>."	https://www.foodista.com/recipe/G2PNVHZF/thin-crust-genoa-salami-pizza	Non-Vegetarian
23	Pecan Pumpkin Pie Dessert Pizza with Maple Whipped Cream	"Pecan Pumpkin Pie Dessert Pizza with Maple Whipped Cream. Forget going out to eat or ordering takeout every time you crave Mediterranean food. Try making Pecan Pumpkin Pie Dessert Pizza with Maple Whipped Cream at home. This dessert has <b>393 calories</b>, <b>7g of protein</b>, and <b>29g of fat</b> per serving. For <b>$1.41 per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. This recipe serves 10. 25 people were glad they tried this recipe. It is perfect for <b>Thanksgiving</b>. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. This recipe from Foodista requires pecans, butter, mama mary's original pizza crust, and pumpkin pie spice. All things considered, we decided this recipe <b>deserves a spoonacular score of 35%</b>. This score is not so excellent. Similar recipes include <a href=""https://spoonacular.com/recipes/pecan-pumpkin-pie-dessert-pizza-with-maple-whipped-cream-1636459"">Pecan Pumpkin Pie Dessert Pizza with Maple Whipped Cream</a>, <a href=""https://spoonacular.com/recipes/maple-and-toasted-pecan-pie-with-maple-whipped-cream-522808"">Maple and Toasted Pecan Pie with Maple Whipped Cream</a>, and <a href=""https://spoonacular.com/recipes/no-bake-pumpkin-tart-with-maple-pecan-whipped-cream-555266"">No-Bake Pumpkin Tart with Maple-Pecan Whipped Cream</a>."	https://www.foodista.com/recipe/YBRFWHCH/pecan-pumpkin-pie-dessert-pizza-with-maple-whipped-cream	Non-Vegetarian
24	Caramelized Onion and Bacon Pizza	"Caramelized Onion and Bacon Pizza. If you want to add more <b>Mediterranean</b> recipes to your collection, Caramelized Onion and Bacon Pizza might be a recipe you should try. For <b>$2.32 per serving</b>, you get a main course that serves 4. One portion of this dish contains around <b>26g of protein</b>, <b>33g of fat</b>, and a total of <b>548 calories</b>. 1 person were impressed by this recipe. This recipe from Foodista requires pizza dough, butter, ricotta, and baby spinach. From preparation to the plate, this recipe takes about <b>45 minutes</b>. With a spoonacular <b>score of 43%</b>, this dish is solid. Similar recipes are <a href=""https://spoonacular.com/recipes/caramelized-onion-bacon-pizza-556268"">Caramelized Onion Bacon Pizza</a>, <a href=""https://spoonacular.com/recipes/caramelized-onion-spinach-and-bacon-pizza-537842"">Caramelized Onion, Spinach and Bacon Pizza</a>, and <a href=""https://spoonacular.com/recipes/spinach-caramelized-onion-and-bacon-pizza-235038"">Spinach, Caramelized Onion, and Bacon Pizza</a>."	https://www.foodista.com/recipe/DX2BY4DB/caramelized-onion-and-bacon-pizza	Non-Vegetarian
