Text	ID	Source
"Cheesy Tortellini Casserole. Cheesy Tortellini Casserole is a main course that serves 4. For <b>$3.56 per serving</b>, this recipe <b>covers 25%</b> of your daily requirements of vitamins and minerals. One serving contains <b>641 calories</b>, <b>30g of protein</b>, and <b>30g of fat</b>. From preparation to the plate, this recipe takes about <b>45 minutes</b>. <b>Autumn</b> will be even more special with this recipe. A mixture of tortellini, cherry tomatoes, olive oil, and a handful of other ingredients are all it takes to make this recipe so yummy. Only a few people made this recipe, and 1 would say it hit the spot. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 68%</b>, which is solid. <a href=""https://spoonacular.com/recipes/cheesy-tortellini-casserole-627080"">Cheesy Tortellini Casserole</a>, <a href=""https://spoonacular.com/recipes/cheesy-crockpot-tortellini-1519883"">Cheesy Crockpot Tortellini</a>, and <a href=""https://spoonacular.com/recipes/cheesy-baked-tortellini-247182"">Cheesy Baked Tortellini</a> are very similar to this recipe."	11	Spoonacular
"Broccoli, Sausage and Fresh Basil Pasta. Broccoli, Sausage and Fresh Basil Pasta takes around <b>45 minutes</b> from beginning to end. One portion of this dish contains approximately <b>40g of protein</b>, <b>58g of fat</b>, and a total of <b>985 calories</b>. This recipe serves 4 and costs $2.72 per serving. 1 person has tried and liked this recipe. It is brought to you by Foodista. It works well as a budget friendly main course. A mixture of basil leaves, garlic, merlot, and a handful of other ingredients are all it takes to make this recipe so flavorful. Overall, this recipe earns a <b>pretty good spoonacular score of 66%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/broccoli-sausage-and-fresh-basil-pasta-1596615"">Broccoli, Sausage and Fresh Basil Pasta</a>, <a href=""https://spoonacular.com/recipes/rotini-pasta-with-chicken-broccoli-tomatoes-parmesan-and-fresh-basil-497303"">Rotini Pasta with Chicken, Broccoli, Tomatoes, Parmesan, and Fresh Basil</a>, and <a href=""https://spoonacular.com/recipes/rotini-pasta-with-chicken-broccoli-tomatoes-parmesan-and-fresh-basil-1272825"">Rotini Pasta with Chicken, Broccoli, Tomatoes, Parmesan, and Fresh Basil</a>."	12	Spoonacular
"Creamy zucchini and ham pasta. Creamy zucchini and ham pastan is a main course that serves 4. One portion of this dish contains about <b>33g of protein</b>, <b>60g of fat</b>, and a total of <b>1001 calories</b>. For <b>$1.36 per serving</b>, this recipe <b>covers 25%</b> of your daily requirements of vitamins and minerals. This recipe from spoonacular user <a href=""/profile/jeremyzkc"">jeremyzkc</a> requires pepper, pasta, garlic, and zucchini. From preparation to the plate, this recipe takes approximately <b>25 minutes</b>. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/pasta-with-zucchini-and-ham-395168"">Pasta With Zucchini and Ham</a>, <a href=""https://spoonacular.com/recipes/pasta-roses-with-zucchini-and-ham-654879"">Pasta Roses With Zucchini and Ham</a>, and <a href=""https://spoonacular.com/recipes/creamy-pasta-with-ham-and-broccoli-109501"">Creamy Pasta with Ham and Broccoli</a>."	13	Spoonacular
"Cheese Tortellini With Sausage Ragu. Cheese Tortellini With Sausage Ragu might be just the main course you are searching for. For <b>$2.2 per serving</b>, this recipe <b>covers 12%</b> of your daily requirements of vitamins and minerals. This recipe serves 6. One portion of this dish contains around <b>26g of protein</b>, <b>35g of fat</b>, and a total of <b>586 calories</b>. 1 person has tried and liked this recipe. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. This recipe from Foodista requires red wine, oregano, parmesan cheese, and heavy cream. With a spoonacular <b>score of 47%</b>, this dish is pretty good. <a href=""https://spoonacular.com/recipes/italian-sausage-soup-with-cheese-tortellini-1440903"">Italian Sausage Soup with Cheese Tortellini</a>, <a href=""https://spoonacular.com/recipes/cheese-tortellini-with-sausage-tomatoes-and-spinach-567458"">Cheese Tortellini with Sausage, Tomatoes and Spinach</a>, and <a href=""https://spoonacular.com/recipes/crock-pot-sausage-and-cheese-tortellini-soup-484445"">Crock-Pot Sausage and Cheese Tortellini Soup</a> are very similar to this recipe."	14	Spoonacular
"Vegetable Noodles. Vegetable Noodles is a <b>dairy free</b> hor d'oeuvre. This recipe makes 2 servings with <b>217 calories</b>, <b>9g of protein</b>, and <b>1g of fat</b> each. For <b>51 cents per serving</b>, this recipe <b>covers 14%</b> of your daily requirements of vitamins and minerals. A mixture of msg, chile sauce, green onions, and a handful of other ingredients are all it takes to make this recipe so delicious. It is brought to you by Foodista. 1 person were glad they tried this recipe. From preparation to the plate, this recipe takes around <b>45 minutes</b>. With a spoonacular <b>score of 66%</b>, this dish is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/veg-hakka-noodles-how-to-make-vegetable-hakka-noodles-1233409"">veg hakka noodles , how to make vegetable hakka noodles</a>, <a href=""https://spoonacular.com/recipes/spring-vegetable-noodles-209965"">Spring vegetable noodles</a>, and <a href=""https://spoonacular.com/recipes/buddhist-vegetable-noodles-92995"">Buddhist Vegetable Noodles</a>."	15	Spoonacular
"Pasta With Gorgonzola Sauce. The recipe Pasta With Gorgonzola Sauce can be made <b>in around 45 minutes</b>. One serving contains <b>377 calories</b>, <b>11g of protein</b>, and <b>25g of fat</b>. For <b>68 cents per serving</b>, you get a hor d'oeuvre that serves 8. 1 person has made this recipe and would make it again. Head to the store and pick up pkt pasta, parmesan cheese, half and half, and a few other things to make it today. It is brought to you by Foodista. Overall, this recipe earns a <b>not so outstanding spoonacular score of 24%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/chocolate-pasta-with-gorgonzola-cream-sauce-and-10-romantic-pasta-dishes-532706"">Chocolate Pasta with Gorgonzola Cream Sauce and 10 Romantic Pasta Dishes</a>, <a href=""https://spoonacular.com/recipes/chocolate-pasta-with-gorgonzola-cream-sauce-and-10-romantic-pasta-dishes-1241311"">Chocolate Pasta with Gorgonzola Cream Sauce and 10 Romantic Pasta Dishes</a>, and <a href=""https://spoonacular.com/recipes/pasta-with-kale-and-gorgonzola-sauce-594400"">Pasta with Kale and Gorgonzola Sauce</a>."	16	Spoonacular
"Pasta e Fagioli (Pasta and Beans). Pastan e Fagioli (Pastan and Beans) might be a good recipe to expand your hor d'oeuvre recipe box. This recipe makes 6 servings with <b>214 calories</b>, <b>10g of protein</b>, and <b>6g of fat</b> each. For <b>51 cents per serving</b>, this recipe <b>covers 10%</b> of your daily requirements of vitamins and minerals. A few people really liked this Mediterranean dish. 13 people were impressed by this recipe. This recipe from Foodista requires olive oil, garlic clove, onion, and water. From preparation to the plate, this recipe takes around <b>45 minutes</b>. With a spoonacular <b>score of 52%</b>, this dish is solid. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/pasta-e-fagioli-con-salsicce-pasta-and-beans-with-sausage-1215057"">Pastan e Fagioli con Salsicce (Pastan and Beans with Sausage)</a>, <a href=""https://spoonacular.com/recipes/pasta-e-fagioli-con-salsicce-pasta-and-beans-with-sausage-106972"">Pastan e Fagioli con Salsicce (Pastan and Beans with Sausage)</a>, and <a href=""https://spoonacular.com/recipes/pasta-e-fagioli-con-salsicce-pasta-and-beans-with-sausage-1224655"">Pastan e Fagioli con Salsicce (Pastan and Beans with Sausage)</a>."	17	Spoonacular
"Baked Tortellini In Red Sauce. The recipe Baked Tortellini In Red Sauce can be made <b>in around 45 minutes</b>. This recipe makes 3 servings with <b>463 calories</b>, <b>24g of protein</b>, and <b>21g of fat</b> each. For <b>$2.09 per serving</b>, this recipe <b>covers 13%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 2 foodies and cooks. It is brought to you by Foodista. It works well as a main course. Head to the store and pick up garlic, sugar, salt and pepper, and a few other things to make it today. All things considered, we decided this recipe <b>deserves a spoonacular score of 50%</b>. This score is solid. <a href=""https://spoonacular.com/recipes/tortellini-with-red-wine-sauce-516170"">Tortellini with Red Wine Sauce</a>, <a href=""https://spoonacular.com/recipes/baked-red-snapper-in-dill-sauce-88487"">Baked Red Snapper in Dill Sauce</a>, and <a href=""https://spoonacular.com/recipes/baked-rutabaga-with-red-eye-tomato-sauce-707045"">Baked Rutabaga with ""Red-Eye"" Tomato Sauce</a> are very similar to this recipe."	18	Spoonacular
"Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce. Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce might be just the main course you are searching for. This recipe makes 2 servings with <b>762 calories</b>, <b>28g of protein</b>, and <b>48g of fat</b> each. For <b>$6.5 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. Only a few people made this recipe, and 3 would say it hit the spot. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. If you have chicken broth, artisan pasta, extra virgin oil, and a few other ingredients on hand, you can make it. Overall, this recipe earns a <b>pretty good spoonacular score of 78%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/farfalle-pasta-with-smoked-salmon-and-cream-cheese-1233493"">Farfalle Pasta With Smoked Salmon And Cream Cheese</a>, <a href=""https://spoonacular.com/recipes/farfalle-pasta-with-smoked-salmon-and-cream-cheese-30071"">Farfalle Pasta With Smoked Salmon And Cream Cheese</a>, and <a href=""https://spoonacular.com/recipes/smoked-salmon-and-farfalle-in-lemon-cream-sauce-321798"">Smoked Salmon and Farfalle in Lemon Cream Sauce</a>."	19	Spoonacular
"Macaroni Pasta with Fresh Tomatoes, Zucchini and Artichokes. Macaroni Pasta with Fresh Tomatoes, Zucchini and Artichokes is a main course that serves 8. One portion of this dish contains around <b>25g of protein</b>, <b>28g of fat</b>, and a total of <b>575 calories</b>. For <b>$2.49 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. If you have artichokes, olives, parsley, and a few other ingredients on hand, you can make it. 1 person were glad they tried this recipe. It is a good option if you're following a <b>pescatarian</b> diet. From preparation to the plate, this recipe takes approximately <b>25 minutes</b>. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 82%</b>. This score is excellent. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/macaroni-with-fresh-tomatoes-and-beans-643634"">Macaroni with Fresh Tomatoes and Beans</a>, <a href=""https://spoonacular.com/recipes/pasta-with-artichokes-tomatoes-and-feta-527430"">Pasta with Artichokes, Tomatoes and Feta</a>, and <a href=""https://spoonacular.com/recipes/pasta-with-artichokes-and-fresh-ricotta-28822"">Pasta with Artichokes and Fresh Ricotta</a>."	20	Spoonacular
"Greek Shrimp Orzo. Greek Shrimp Orzo is a Mediterranean main course. This recipe serves 6. Watching your figure? This pescatarian recipe has <b>410 calories</b>, <b>24g of protein</b>, and <b>14g of fat</b> per serving. For <b>$3.4 per serving</b>, this recipe <b>covers 24%</b> of your daily requirements of vitamins and minerals. 1 person has tried and liked this recipe. A mixture of lemon juice, feta cheese, shrimp, and a handful of other ingredients are all it takes to make this recipe so yummy. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 70%</b>, which is solid. Try <a href=""https://spoonacular.com/recipes/greek-shrimp-with-orzo-556134"">Greek Shrimp with Orzo</a>, <a href=""https://spoonacular.com/recipes/greek-shrimp-with-zucchini-orzo-and-feta-577033"">Greek Shrimp with Zucchini, Orzo and Feta</a>, and <a href=""https://spoonacular.com/recipes/greek-orzo-salad-with-roasted-shrimp-guest-post-493461"">Greek Orzo Salad with Roasted Shrimp {Guest Post}</a> for similar recipes."	21	Spoonacular
"Fettuccine With Smashed Peas. Fettuccine With Smashed Peas is a main course that serves 8. For <b>49 cents per serving</b>, this recipe <b>covers 14%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains about <b>13g of protein</b>, <b>6g of fat</b>, and a total of <b>312 calories</b>. If you have fettuccine pasta, chives, ricotta cheese, and a few other ingredients on hand, you can make it. Only a few people made this recipe, and 3 would say it hit the spot. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is brought to you by Foodista. Overall, this recipe earns a <b>pretty good spoonacular score of 76%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/pasta-with-smashed-peas-18151"">Pasta with Smashed Peas</a>, <a href=""https://spoonacular.com/recipes/smashed-peas-and-ricotta-cheese-318639"">Smashed Peas and Ricotta Cheese</a>, and <a href=""https://spoonacular.com/recipes/pasta-with-smashed-peas-and-ricotta-18657"">Pasta With Smashed Peas And Ricotta</a>."	22	Spoonacular
"Cajun Chicken Pasta. Cajun Chicken Pasta might be a good recipe to expand your main course repertoire. This recipe serves 4 and costs $1.5 per serving. One portion of this dish contains approximately <b>20g of protein</b>, <b>41g of fat</b>, and a total of <b>553 calories</b>. This recipe is typical of Cajun cuisine. If you have linguine pasta, green onion, bell pepper, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes around <b>30 minutes</b>. It is brought to you by spoonacular user <a href=""/profile/CharlieT"">CharlieT</a>. <a href=""https://spoonacular.com/recipes/cajun-chicken-pasta-1457899"">Cajun Chicken Pasta</a>, <a href=""https://spoonacular.com/recipes/cajun-chicken-pasta-596832"">Cajun Chicken Pasta</a>, and <a href=""https://spoonacular.com/recipes/cajun-chicken-pasta-1522069"">Cajun Chicken Pasta</a> are very similar to this recipe."	23	Spoonacular
"Farfalle With Broccoli, Carrots and Tomatoes. Farfalle With Broccoli, Carrots and Tomatoes might be just the main course you are searching for. This recipe makes 8 servings with <b>309 calories</b>, <b>13g of protein</b>, and <b>8g of fat</b> each. For <b>96 cents per serving</b>, this recipe <b>covers 15%</b> of your daily requirements of vitamins and minerals. 4 people have made this recipe and would make it again. If you have parmigiano-reggiano, broccoli heads, carrots, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is brought to you by Foodista. Overall, this recipe earns an <b>excellent spoonacular score of 83%</b>. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/farfalle-with-broccoli-carrots-and-tomatoes-1364645"">Farfalle With Broccoli, Carrots and Tomatoes</a>, <a href=""https://spoonacular.com/recipes/farfalle-with-tomatoes-and-feta-cheese-108238"">Farfalle with Tomatoes and Feta Cheese</a>, and <a href=""https://spoonacular.com/recipes/farfalle-with-sausage-tomatoes-and-cream-106954"">Farfalle with Sausage, Tomatoes, and Cream</a>."	24	Spoonacular
"Tricolor Rotini pasta Salad. If you have approximately <b>45 minutes</b> to spend in the kitchen, Tricolor Rotini pasta Salad might be an amazing <b>dairy free</b> recipe to try. One portion of this dish contains roughly <b>6g of protein</b>, <b>5g of fat</b>, and a total of <b>146 calories</b>. This recipe serves 2. For <b>$2.57 per serving</b>, this recipe <b>covers 23%</b> of your daily requirements of vitamins and minerals. Only a few people made this recipe, and 1 would say it hit the spot. It works well as a rather inexpensive hor d'oeuvre. This recipe from Foodista requires mayonnaise 2 tbsp, lettuce leaves, olives 10 nos, and plum tomato nos. Overall, this recipe earns a <b>pretty good spoonacular score of 69%</b>. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/tricolor-pasta-salad-412627"">Tricolor Pasta Salad</a>, <a href=""https://spoonacular.com/recipes/rainbow-rotini-pasta-salad-436181"">Rainbow Rotini Pasta Salad</a>, and <a href=""https://spoonacular.com/recipes/tri-color-italian-rotini-pasta-salad-244625"">Tri-Color Italian Rotini Pasta Salad</a>."	25	Spoonacular
"Cheesy Pasta in a Pot. Cheesy Pastan in a Pot takes roughly <b>45 minutes</b> from beginning to end. This main course has <b>491 calories</b>, <b>44g of protein</b>, and <b>20g of fat</b> per serving. This recipe serves 8 and costs $2.7 per serving. 2 people were impressed by this recipe. A mixture of mozzarella, provolone, spaghetti sauce, and a handful of other ingredients are all it takes to make this recipe so flavorful. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 67%</b>, which is pretty good. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/cheesy-pasta-in-a-pot-1367351"">Cheesy Pastan in a Pot</a>, <a href=""https://spoonacular.com/recipes/one-pot-cheesy-taco-pasta-1281529"">One-Pot Cheesy Taco Pasta</a>, and <a href=""https://spoonacular.com/recipes/one-pot-cheesy-taco-pasta-1762365"">One-Pot Cheesy Taco Pasta</a>."	26	Spoonacular
"Linguine with Prawns, Fresh Tomatoes and Spinach. If you have around <b>45 minutes</b> to spend in the kitchen, Linguine with Prawns, Fresh Tomatoes and Spinach might be an amazing <b>pescatarian</b> recipe to try. One portion of this dish contains around <b>41g of protein</b>, <b>22g of fat</b>, and a total of <b>725 calories</b>. This recipe serves 4 and costs $3.93 per serving. 10 people were glad they tried this recipe. It is brought to you by Foodista. If you have prawns, tomatoes, salt and pepper, and a few other ingredients on hand, you can make it. It works well as a main course. With a spoonacular <b>score of 85%</b>, this dish is excellent. <a href=""https://spoonacular.com/recipes/linguine-with-fresh-tomatoes-443547"">Linguine with Fresh Tomatoes</a>, <a href=""https://spoonacular.com/recipes/linguine-with-fresh-tuna-tomatoes-and-lemon-7856"">Linguine with Fresh Tuna, Tomatoes and Lemon</a>, and <a href=""https://spoonacular.com/recipes/linguinie-with-prawns-spinach-tomatoes-and-goat-cheese-567454"">Linguinie with Prawns, Spinach, Tomatoes and Goat Cheese</a> are very similar to this recipe."	27	Spoonacular
